phrase	length	count
cīruļu 	1	36
ulbroka 	1	36
vidus iela 	2	36
pīlādžu 	1	35
krāslavas 	1	35
madliena 	1	35
pulkveža 	1	35
nākotnes 	1	35
dārzu 	1	35
tukuma 	1	35
mednieku iela 	2	35
aleksandra 	1	34
draudze 	1	34
rauna 	1	34
dārzu iela 	2	34
drabeši 	1	34
pīlādžu iela 	2	34
līgatnes 	1	34
veselības 	1	34
peldu iela 	2	34
dzintaru 	1	34
mākslas 	1	34
alejas iela 	2	34
bauskas iela 	2	34
peldu 	1	34
bebru iela 	2	34
pasta nodaļa 	2	34
vītolu 	1	34
pļaviņas 	1	34
balvi 	1	34
tilts 	1	33
austrumu iela 	2	33
barona iela 	2	33
vītolu iela 	2	33
ziemeļu iela 	2	33
nākotnes iela 	2	33
lazdu 	1	33
pļavas 	1	33
turaidas 	1	33
ropaži 	1	33
krustpils iela 	2	32
dzintaru iela 	2	32
sigulda 	1	32
kāpu 	1	32
atmodas 	1	32
dzelzavas 	1	32
imantas 	1	32
luterāņu 	1	32
dzelzavas iela 	2	32
meža prospekts 	2	31
jaunatnes 	1	31
pii 	1	31
lazdu iela 	2	31
čiekuru 	1	31
vecpiebalga 	1	31
malta 	1	31
zemgales iela 	2	31
uzvaras iela 	2	30
marijas iela 	2	30
kandavas 	1	30
novembra krastmala 	2	30
slāvu 	1	30
luterāņu baznīca 	2	30
kurzemes prospekts 	2	30
baložu 	1	30
kārsava 	1	30
cīrava 	1	30
čiekuru iela 	2	30
talsu iela 	2	30
inciems 	1	30
egļu iela 	2	29
gravas 	1	29
graudu 	1	29
lapu 	1	29
jaunatnes iela 	2	29
viļāni 	1	29
egļu 	1	29
rūjiena 	1	29
valka 	1	29
svētā 	1	28
pica 	1	28
brieža 	1	28
puķu 	1	28
graudu iela 	2	28
ventas 	1	28
skrundas 	1	28
viestura iela 	2	28
puķu iela 	2	28
stende 	1	28
bērnudārzs 	1	28
pulkveža brieža 	2	28
slimnīcas 	1	28
garkalne 	1	28
lapu iela 	2	28
medņu 	1	27
gostiņi 	1	27
pareizticīgo 	1	27
lubāna 	1	27
burtnieku 	1	27
juglas iela 	2	27
jēkaba 	1	27
nafta 	1	27
strēlnieku iela 	2	27
slimnīcas iela 	2	27
