phrase	length	count
империя 	1	7
улуу 	1	7
саякбай каралаев 	2	7
тыныстанов 	1	7
club 	1	7
жукеев-пудовкин 	1	7
marks 	1	7
памирский 	1	7
ик 	1	7
керемет 	1	7
karl 	1	7
золотой 	1	7
акунбай 	1	7
karl marks 	2	7
логвиненко яков 	2	7
министерство 	1	7
стоматология 	1	7
station 	1	7
сш. 	1	7
районная 	1	7
саякбай каралаев көчөсү 	3	7
для 	1	7
акимиат 	1	7
болот проспекти 	2	6
мэрия 	1	6
арстанбап 	1	6
жумабек 	1	6
увд первомайского 	2	6
с. 	1	6
опоп 	1	6
дооронбек 	1	6
pub 	1	6
осмонкул 	1	6
садырбаев 	1	6
горький көчөсү 	2	6
крсу 	1	6
чуйский 	1	6
им 	1	6
жапар 	1	6
манаса 	1	6
юнусалиев болот проспекти 	3	6
садырбаев дооронбек 	2	6
на 	1	6
кпп 	1	6
клуб 	1	6
налоговая 	1	6
пушкин көчөсү 	2	6
улан 	1	6
а 	1	6
садырбаев дооронбек көчөсү 	3	6
көчө 	1	6
частная 	1	6
кооператив 	1	6
манас көчөсү 	2	6
улуу жибек 	2	6
фап 	1	6
интернат 	1	6
осмонкул көчөсү 	2	6
жеңиш 	1	6
сыдыков 	1	6
юнусалиев болот 	2	6
баатыра 	1	6
пушкин 	1	6
арстанбап көчөсү 	2	6
айни 	1	6
б. 	1	6
кулатов көчөсү 	2	6
айни көчөсү 	2	6
ошская 	1	6
увд первомайского района 	3	6
тыныстанов көчөсү 	2	6
кулатов 	1	6
комплекс 	1	6
у 	1	6
жайыл баатыра 	2	6
bar 	1	6
бишкекский 	1	6
school 	1	6
стоматологическая поликлиника 	2	6
жеңиш көчөсү 	2	6
халык банк 	2	6
государственная 	1	6
дооронбек көчөсү 	2	6
бишкек 	1	6
дом культуры 	2	6
барпы 	1	6
ошский 	1	6
автошкола 	1	6
ош-бишкек 	1	6
н. 	1	6
в 	1	6
фарм 	1	6
прокуратура 	1	6
октябрь 	1	6
optima 	1	5
мектеп 	1	5
азии 	1	5
максим 	1	5
матыев эркинбек көчөсү 	3	5
шаардык 	1	5
колледж 	1	5
тон көчөсү 	2	5
дк 	1	5
международный университет 	2	5
юрий 	1	5
of 	1	5
суеркулов 	1	5
республиканский 	1	5
каракол 	1	5
матыев эркинбек 	2	5
максим горький 	2	5
сервис 	1	5
ленин проспекти 	2	5
гастелло 	1	5
гаражный кооператив 	2	5
гастелло көчөсү 	2	5
ажы 	1	5
алыкулов 	1	5
дэн 	1	5
ош-бишкек жолу 	2	5
тыналиев 	1	5
летний 	1	5
мухтарбек 	1	5
фрунзе михаил 	2	5
dirt 	1	5
тон 	1	5
street 	1	5
жумабек көчөсү 	2	5
агентство 	1	5
шералиев 	1	5
гаражный 	1	5
дзержинского 	1	5
сш. им 	2	5
юрий көчөсү 	2	5
загс 	1	5
dirt road 	2	5
мост 	1	5
чоң-курган көчөсү 	2	5
эркинбек көчөсү 	2	5
бта 	1	5
школа имени 	2	5
optima bank 	2	5
империя пиццы 	2	5
гараж 	1	5
лущихин 	1	5
южный 	1	5
бакай 	1	5
эркинбек 	1	5
матыев 	1	5
первомайский 	1	5
университет им. 	2	5
максим горький көчөсү 	3	5
бассеин 	1	5
пиццы 	1	5
международный 	1	5
чоң-курган 	1	5
оао 	1	5
платная стоянка 	2	5
гагарин юрий 	2	5
логвиненко яков көчөсү 	3	5
the 	1	5
михаил 	1	5
сары-булак 	1	5
айболит 	1	5
клиническая 	1	5
яков көчөсү 	2	5
сыдыков көчөсү 	2	5
береке 	1	5
турецкий 	1	5
гагарин юрий көчөсү 	3	5
милиции 	1	5
районная больница 	2	5
филиал финка 	2	5
по 	1	5
д 	1	5
лущихин көчөсү 	2	5
нефть 	1	5
