phrase	length	count
de ponent 	2	263
tramuntana 	1	262
del molí 	2	262
carrer de sant joan 	4	261
països catalans 	2	260
de ses 	2	260
mig 	1	260
vilanova 	1	259
santiago 	1	258
autovia de 	2	258
llevant 	1	258
pla de 	2	257
carreró 	1	257
del camí 	2	256
els 	1	253
vallès 	1	253
plaça dels 	2	252
de la torre 	3	252
riba 	1	251
passatge de la 	3	250
de valència 	2	250
la vila 	2	249
generalitat 	1	249
de sant josep 	3	248
es 	1	248
carrer de barcelona 	3	248
gaudí 	1	247
catalanes 	1	247
del puig 	2	246
font de 	2	246
penedès 	1	246
gran via de 	3	245
de la vila 	3	245
del mig 	2	245
forn 	1	244
del pla 	2	244
autovia barcelona 	2	243
la costa 	2	243
sant roc 	2	242
carrer doctor 	2	242
carrer de l'església 	3	241
poeta 	1	241
ronda del 	2	240
ferran 	1	239
de sant miquel 	3	239
ferrer 	1	239
guimerà 	1	238
carrer del pare 	3	238
palma 	1	237
del sol 	2	237
autopista del maresme 	3	236
les escoles 	2	235
carrer de salvador 	3	235
vidal 	1	234
bernat 	1	234
colom 	1	233
portal 	1	232
eix del llobregat 	3	231
fleming 	1	231
joan maragall 	2	231
sebastià 	1	230
francesc macià 	2	230
vives 	1	230
cervantes 	1	230
roig 	1	230
la vall 	2	228
balaguer 	1	228
corts catalanes 	2	228
josep maria 	2	228
de mar 	2	227
cartagena 	1	227
dels països 	2	227
d'espanya 	1	224
del pou 	2	224
gabriel 	1	223
les corts catalanes 	3	223
de les corts catalanes 	4	223
de la vall 	3	222
de les escoles 	3	222
martorell 	1	222
dels països catalans 	3	222
del carme 	2	221
avinguda de sant 	3	219
vella 	1	219
santa maria 	2	219
de cartagena 	2	218
sant francesc 	2	218
de la generalitat 	3	218
la generalitat 	2	218
alicante 	1	218
d'enric 	1	217
bassa 	1	217
plana 	1	216
cajal 	1	214
baixada 	1	214
del raval 	2	213
indústria 	1	213
miguel 	1	213
a valencia 	2	212
de miquel 	2	212
march 	1	211
carrer de lluís 	3	211
camí des 	2	211
clavé 	1	211
camí de sant 	3	211
josé 	1	210
la mare de déu de 	5	210
palau 	1	210
del vallès 	2	210
valls 	1	209
a sant 	2	209
andreu 	1	209
d'aragó 	1	208
carrer de la creu 	4	207
de jaume i 	3	207
cartagena a 	2	207
y 	1	207
carretera de cartagena 	3	207
carrer de mossèn 	3	207
isidre 	1	207
de cartagena a 	3	207
cartagena a valencia 	3	207
carretera de cartagena a valencia 	5	207
carretera de cartagena a 	4	207
de cartagena a valencia 	4	207
carrer de sant pere 	4	206
manresa 	1	206
bartomeu 	1	205
carrer del camí 	3	205
de la costa 	3	205
del nord 	2	204
del penedès 	2	204
ribera 	1	204
autovía de 	2	204
lluís companys 	2	203
del general 	2	203
constitució 	1	203
rosa 	1	203
de vilanova 	2	201
carrer de lleida 	3	201
de sant jaume 	3	200
de baix 	2	200
del bisbe 	2	200
carrer de sant josep 	4	199
via de les 	3	198
mallorca 	1	196
narcís 	1	196
mercè 	1	195
lluis 	1	195
d'europa 	1	194
ral 	1	194
carrer jaume 	2	194
carrer de la verge 	4	193
carrer de girona 	3	193
pins 	1	193
doctor fleming 	2	193
calvari 	1	193
sant isidre 	2	193
carrer d'enric 	2	193
castelló 	1	192
nova 	1	192
la mar 	2	192
la riba 	2	191
c. de 	2	191
gran via de les 	4	191
de la riba 	3	190
prat de 	2	190
del torrent 	2	190
maig 	1	190
d'urgell 	1	189
pista 	1	189
salou 	1	188
llull 	1	187
ciutat 	1	186
pujada 	1	185
del rei 	2	185
canigó 	1	185
de reus 	2	185
de maig 	2	184
vicenç 	1	184
via de les corts 	4	184
via de les corts catalanes 	5	184
gran via de les corts 	5	184
carrer de miquel 	3	184
d'alacant 	1	184
carrer del castell 	3	183
la plana 	2	183
del forn 	2	182
sant sebastià 	2	182
plaça de l'església 	3	182
carrer de montserrat 	3	182
frança 	1	181
carrer de la riera 	4	181
l'onze de 	2	180
de joaquim 	2	180
l'onze 	1	180
carrer verge 	2	179
de l'onze 	2	179
de l'onze de 	3	179
prat de la 	3	179
eres 	1	178
migdia 	1	178
de la mar 	3	178
camí de sa 	3	178
ii 	1	178
carrer del raval 	3	177
del camp 	2	176
de la plana 	3	176
del port 	2	176
de pompeu 	2	176
vía 	1	176
joan miró 	2	176
l'onze de setembre 	3	175
na 	1	175
carrer del sol 	3	175
cap 	1	175
d'àngel 	1	174
cami del 	2	174
de l'onze de setembre 	4	174
san 	1	174
de santiago 	2	174
cristòfol 	1	173
sant martí 	2	173
carrer de sant miquel 	4	172
carretera de barcelona 	3	172
guillem 	1	171
fuster 	1	171
de sant roc 	3	170
soler 	1	170
ca 	1	170
de maria 	2	169
espriu 	1	169
cal 	1	168
salvador espriu 	2	168
blasco 	1	168
la serra 	2	167
comte 	1	167
la indústria 	2	167
carrer de les escoles 	4	167
tomàs 	1	167
prat de la riba 	4	167
de la indústria 	3	167
sant llorenç 	2	166
carrer del bisbe 	3	166
de pompeu fabra 	3	166
carrer de ponent 	3	165
del pi 	2	165
sant vicent 	2	165
de la serra 	3	165
camí ral 	2	164
plaça de les 	3	164
cami de la 	3	164
canal 	1	163
marquès 	1	163
fondo 	1	163
la marina 	2	163
anna 	1	163
rotonda 	1	163
de sant francesc 	3	163
metge 	1	162
de cala 	2	161
carrer de pau casals 	4	161
de alicante 	2	161
carrer del puig 	3	161
del montseny 	2	161
de joan maragall 	3	161
carrer del general 	3	159
rambla del 	2	159
carrer de santiago 	3	159
verde 	1	159
de manuel 	2	159
pilar 	1	158
de lleida a 	3	158
lleida a 	2	158
carretera de lleida 	3	158
carretera de lleida a 	4	157
bages 	1	157
carrer del torrent 	3	157
de rafael 	2	157
llibertat 	1	156
carrer de joaquim 	3	156
la bassa 	2	155
ronda de dalt 	3	155
carrer de la pau 	4	155
pol 	1	155
de manresa 	2	154
les eres 	2	154
carrer de son 	3	154
europa 	1	154
president 	1	153
carrer de sant jordi 	4	153
bosc 	1	153
riera de 	2	152
casanova 	1	152
selva 	1	152
d'es 	1	152
turó 	1	152
picasso 	1	151
carrer del pont 	3	151
mercat 	1	151
roger 	1	151
verge del 	2	151
monturiol 	1	151
de santa maria 	3	151
bruc 	1	150
carrer de tarragona 	3	150
carrer pere 	2	150
de la verge de 	4	150
del calvari 	2	150
carrer del nord 	3	150
la verge de 	3	150
de jacint 	2	150
litoral 	1	150
avinguda diagonal 	2	150
del portal 	2	149
pujol 	1	149
sorolla 	1	149
la constitució 	2	148
rosselló 	1	148
madrid 	1	148
ramon llull 	2	148
de llevant 	2	148
de francesc macià 	3	148
nostra 	1	148
carrer del molí 	3	148
d'anselm 	1	147
de la constitució 	3	147
de la marina 	3	147
raval de 	2	146
carrer pintor 	2	146
av. 	1	145
ventura 	1	145
tarradellas 	1	145
santa anna 	2	145
dr. 	1	144
carretera de les 	3	144
carrer del forn 	3	144
avinguda de joan 	3	144
carrer de joan maragall 	4	144
los 	1	144
d'àngel guimerà 	2	143
travessia de 	2	142
cardenal 	1	142
reis 	1	142
segre 	1	142
carrer d'àngel 	2	142
de balmes 	2	141
de lluís companys 	3	141
de carles 	2	141
torrent de 	2	141
esteve 	1	141
germans 	1	140
roger de 	2	140
cementiri 	1	140
la plaça 	2	140
de l'alcalde 	2	140
carrer de la indústria 	4	140
avinguda de la generalitat 	4	140
l'alcalde 	1	140
carrer mare 	2	140
autovía de alicante 	3	140
de ca 	2	140
carrer mestre 	2	140
de josep maria 	3	140
font del 	2	140
sant ramon 	2	139
del pla de 	3	139
carrer pau 	2	138
centre 	1	138
de cervantes 	2	138
de les eres 	3	138
de la bassa 	3	138
carrer de manuel 	3	138
teresa 	1	137
santander 	1	136
jesús 	1	136
la font de 	3	136
del doctor fleming 	3	136
carrer el 	2	136
de cal 	2	136
joan fuster 	2	136
ibáñez 	1	136
pérez 	1	136
carrer de maria 	3	135
avinguda de can 	3	135
de sant sebastià 	3	135
mediterrani 	1	135
carrer del pou 	3	135
carrer de pompeu 	3	135
de mallorca 	2	134
de joan miró 	3	134
dels pins 	2	134
andorra 	1	134
de castelló 	2	133
ronda litoral 	2	133
de la font de 	4	133
vicente 	1	133
carrer del mas 	3	133
francesa 	1	132
xxiii 	1	132
de gabriel 	2	132
carrer francesc 	2	132
de sant llorenç 	3	132
muralla 	1	132
de sant isidre 	3	132
verge de montserrat 	3	132
carrer ramon 	2	132
xaloc 	1	131
de jacint verdaguer 	3	131
diputació 	1	131
carrer de jaume i 	4	131
carrer de la torre 	4	131
l'hospital 	1	130
senyora 	1	130
torrevieja 	1	130
carrer d'aragó 	2	130
del bruc 	2	130
coma 	1	130
joan de 	2	130
la tramuntana 	2	130
iii 	1	130
de la tramuntana 	3	130
muntanya 	1	130
carrer de sant roc 	4	129
punta 	1	129
avinguda dels països 	3	129
pablo 	1	129
del cementiri 	2	129
carrer del mar 	3	128
y cajal 	2	128
