phrase	length	count
კოტე მარჯანიშვილის ქუჩა 	3	38
ბესიკის ქუჩა 	2	38
კონსტანტინე 	1	38
პუშკინის 	1	38
დიდი 	1	38
სანაპირო 	1	38
ზვიად გამსახურდიას 	2	38
ქუთაისის 	1	38
ვახტანგ გორგასალის 	2	38
სოკარი 	1	37
ჩოლოყაშვილის ქუჩა 	2	37
თამარის ქუჩა 	2	37
გორკის 	1	37
კიკვიძის 	1	37
კახეთის 	1	36
ხეივანი 	1	36
ხიდი 	1	36
vi 	1	36
გორკის ქუჩა 	2	36
ილია ჭავჭავაძის 	2	35
ზემო 	1	35
ჭყონდიდელის 	1	35
რობაქიძის ქუჩა 	2	35
დავით გურამიშვილის ქუჩა 	3	35
სულხან 	1	35
პუშკინის ქუჩა 	2	35
კლინიკა 	1	35
ევდოშვილის 	1	34
ახმაშენებლის ხეივანი 	2	34
კიკვიძის ქუჩა 	2	34
ახმაშენებლის 	1	34
ბიბლიოთეკა 	1	34
დავით ახმაშენებლის ხეივანი 	3	34
ლუკოილი 	1	34
სახელმწიფო 	1	34
დავით ახმაშენებლის 	2	34
წერეთლის გამზირი 	2	33
ვისოლი 	1	33
პეტრე 	1	33
აკაკი წერეთლის გამზირი 	3	33
ი. 	1	33
სამხედრო გზა 	2	33
თაბუკაშვილის 	1	32
სოლომონ 	1	32
რუსთავის 	1	32
ნინოს ქუჩა 	2	32
ave. 	1	32
სამოქალაქო 	1	32
გრიგოლ 	1	32
წმინდა ნინოს ქუჩა 	3	31
აბაშიძის ქუჩა 	2	31
მუსიკალური 	1	31
ნოდარ 	1	30
ვახტანგ გორგასალის ქუჩა 	3	30
v შესახვევი 	2	30
სახელობის ეკლესია 	2	30
ჭანტურიას 	1	30
ალაზნის გამზირი 	2	30
ასათიანის 	1	30
თელავის 	1	30
უნივერსიტეტის ქუჩა 	2	29
კულტურის 	1	29
შანიძის 	1	29
ნოდარ დუმბაძის 	2	29
ღვთისმშობლის ეკლესია 	2	29
შარტავას ქუჩა 	2	29
კაფე 	1	29
ლერმონტოვის 	1	29
არჩილ 	1	29
წამებულის გამზ. 	2	28
თეატრი 	1	28
wissol 	1	28
ხელოვნების 	1	28
საბას 	1	28
დედა 	1	28
რომპეტროლი 	1	28
სულხან საბას ქუჩა 	3	28
სულხან საბას 	2	28
ქეთევან წამებულის გამზ. 	3	28
თაბუკაშვილის ქუჩა 	2	28
კლდიაშვილის 	1	28
საბას ქუჩა 	2	28
გიორგი სააკაძის ქუჩა 	3	28
სასამართლო 	1	28
მესხის 	1	27
გორის 	1	27
მაქსიმ 	1	27
დედა ენის 	2	27
მაქსიმ გორკის ქუჩა 	3	27
ენის 	1	27
მუსიკალური სკოლა 	2	27
მაქსიმ გორკის 	2	27
რეესტრი 	1	27
გალაქტიონ 	1	27
გალაქტიონ ტაბიძის 	2	26
სახაჭაპურე 	1	26
ნოდარ დუმბაძის ქუჩა 	3	26
უმაღლესი 	1	26
ქვემო 	1	26
ოქტომბრის 	1	26
vii 	1	26
ლადო 	1	26
socar 	1	26
ევდოშვილის ქუჩა 	2	26
ბარნოვის 	1	26
მეგობრობის ქუჩა 	2	26
ჭანტურიას ქუჩა 	2	25
აღმაშენებლის გამზირი 	2	25
ვ. 	1	25
ქუთაისის ქუჩა 	2	25
saba 	1	25
შანიძის ქუჩა 	2	25
ნიკეას 	1	25
სამოქალაქო რეესტრი 	2	25
გამარჯვების 	1	25
ოქტომბრის ქუჩა 	2	25
წერეთელის 	1	25
sulkhan 	1	24
ix 	1	24
ცოტნე 	1	24
sulkhan saba st 	3	24
ბარნოვის ქუჩა 	2	24
i შეს. 	2	24
ლენინის ქუჩა 	2	24
ცოტნე დადიანის 	2	24
saba st 	2	24
sulkhan saba 	2	24
სარაჯიშვილის 	1	24
ავტო 	1	24
ნიკო 	1	24
წერეთელის ქუჩა 	2	24
რესპუბლიკის 	1	24
ლენინის 	1	24
parking 	1	24
ii შეს. 	2	24
პრივატ ბანკი 	2	23
ჯაფარიძის 	1	23
უმაღლესი სკოლა 	2	23
ეროვნული 	1	23
სამების 	1	23
ცოტნე დადიანის ქუჩა 	3	23
გელოვანის 	1	23
გამსახურდიას სანაპირო 	2	23
ტაო პრივატ 	2	23
ტაო პრივატ ბანკი 	3	23
კოლეჯი 	1	23
ზვიად გამსახურდიას სანაპირო 	3	23
vi შესახვევი 	2	23
პრივატ 	1	23
შევჩენკოს 	1	23
goderdzi-bakhmaro 	1	23
ტაო 	1	23
ლერმონტოვის ქუჩა 	2	23
ზაქარია ფალიაშვილის ქუჩა 	3	22
ხალხთა 	1	22
დუქანი 	1	22
viii 	1	22
ავტო სკოლა 	2	22
ფარნავაზ მეფის 	2	22
ფარნავაზ 	1	22
ვახუშტი 	1	22
ტაძარი 	1	22
ზაქარია ფალიაშვილის 	2	22
კახეთის ქუჩა 	2	22
ზაქარია 	1	22
მელიქიშვილის 	1	22
არაგველის 	1	22
კულტურის სახლი 	2	22
ხალხთა მეგობრობის 	2	22
ბათუმის ქუჩა 	2	22
გალაქტიონ ტაბიძის ქუჩა 	3	21
ხიზანიშვილის 	1	21
ჭონქაძის ქუჩა 	2	21
გალფი 	1	21
akhalgazrdoba 	1	21
ენგელსის ქუჩა 	2	21
კლდიაშვილის ქუჩა 	2	21
akhalgazrdoba ave. 	2	21
თავდადებულის 	1	21
ხონელიძე 	1	21
იაშვილის 	1	21
ბაქრაძის 	1	21
კლდეკარის ქუჩა 	2	21
ცაბაძის 	1	21
ჭონქაძის 	1	21
იოანე 	1	21
კლდეკარის 	1	21
ენგელსის 	1	21
station 	1	21
ln. 	1	20
მაიაკოვსკის ქუჩა 	2	20
ქუჩის 	1	20
რევაზ 	1	20
მეფის გამზირი 	2	20
მაიაკოვსკის 	1	20
iii ჩიხი 	2	20
დავით აღმაშენებლის 	2	20
ბარი 	1	20
წმ. 	1	20
ნიკოლოზის 	1	20
ილია ჭავჭავაძის გამზირი 	3	20
მესხის ქუჩა 	2	20
სარაჯიშვილის ქუჩა 	2	20
შემოქმედელის 	1	20
საქართველოს სამხედრო 	2	20
საქართველოს სამხედრო გზა 	3	20
ჯიპისი 	1	20
არაგველის ქუჩა 	2	20
ზედა 	1	20
სმადას 	1	19
თავდადებულის ქუჩა 	2	19
დიდი სმადას ქუჩა 	3	19
ლაღიძის 	1	19
სმადას ქუჩა 	2	19
ჯავახეთის 	1	19
მუსხელიშვილის 	1	19
ჯავახეთის ქუჩა 	2	19
ცაბაძის ქუჩა 	2	19
ცენტრალური 	1	19
დიდი სმადას 	2	19
ქვედა 	1	19
ვლადიმერ 	1	19
ალექსანდრე ყაზბეგის 	2	19
გამარჯვების ქუჩა 	2	19
დიმიტრი 	1	19
ფრუნზეს 	1	19
რესტორანი 	1	18
ხერგიანის 	1	18
კონსტანტინე გამსახურდიას 	2	18
ალაზნის ქუჩა 	2	18
კუპრაძის 	1	18
სოხუმის ქუჩა 	2	18
რაზმაძის 	1	18
შევჩენკოს ქუჩა 	2	18
ჯაფარიძის ქუჩა 	2	18
თელავის ქუჩა 	2	18
ბანკი რესპუბლიკა 	2	18
ჯორჯიაშვილის 	1	18
ნუცუბიძის 	1	18
დაწყებითი 	1	18
დაწყებითი სკოლა 	2	18
დაცვის 	1	18
შეს 	1	18
გრიბოედოვის 	1	18
სამედიცინო 	1	18
თამარ მეფის გამზირი 	3	18
რესპუბლიკა 	1	18
ავალიანის 	1	18
ახალი 	1	18
ავალიანის ქუჩა 	2	18
ვაშლოვანის 	1	18
თეთრი 	1	18
დიდგორის 	1	18
იმერეთის 	1	17
ბენდელიანის 	1	17
კუპრეიშვილის ქუჩა 	2	17
აფთიაქი 	1	17
მელიქიშვილის ქუჩა 	2	17
დეპარტამენტი 	1	17
კუპრეიშვილის 	1	17
ივანე 	1	17
ქუცა 	1	17
ეგნატე 	1	17
თიბისი 	1	17
iv ჩიხი 	2	17
ტარას შევჩენკოს 	2	17
მ. 	1	17
ნონეშვილის 	1	17
პროკრედიტ ბანკი 	2	17
პროკრედიტ 	1	17
ვასილ 	1	17
ტარას 	1	17
მ 	1	17
აჭარის 	1	17
რიგი 	1	17
რუსთავის ქუჩა 	2	17
კეცხოველის 	1	17
vii შესახვევი 	2	17
დემეტრე 	1	17
ფრუნზეს ქუჩა 	2	17
ს. 	1	17
გიორგის ქუჩა 	2	16
შოთა რუსთაველის გამზირი 	3	16
ხერგიანის ქუჩა 	2	16
ii რიგი 	2	16
ვარკეთილის 	1	16
ბაქრაძის ქუჩა 	2	16
ა. 	1	16
iv მ 	2	16
კახიანის 	1	16
ენის ქუჩა 	2	16
ლორთქიფანიძის ქუჩა 	2	16
დედა ენის ქუჩა 	3	16
ვარკეთილის iv 	2	16
cng 	1	16
ვარკეთილის iv მ 	3	16
კეცხოველის ქუჩა 	2	16
ონარიის 	1	16
რ 	1	16
სტომატოლოგიური 	1	16
ხანძთელის 	1	16
ხიზანიშვილის ქ. 	2	16
თიბისი ბანკი 	2	16
იოსელიანის 	1	16
ბორჯომის 	1	16
ონარიის დევნილთა 	2	16
გრიბოედოვის ქუჩა 	2	16
გოგოლის 	1	16
შალვა 	1	16
რაზმაძის ქუჩა 	2	16
წითელი 	1	16
ონარიის დევნილთა დასახლება 	3	16
სოხუმის გამზირი 	2	16
ნუცუბიძის ქუჩა 	2	15
შ. 	1	15
ასათიანის ქუჩა 	2	15
ხიმშიაშვილის 	1	15
ბელიაშვილის ქუჩა 	2	15
ხანძთელის ქუჩა 	2	15
ლომონოსოვის ქუჩა 	2	15
ინაურის 	1	15
ხეთაგუროვის 	1	15
ლომონოსოვის 	1	15
ფარნავაზ მეფის ქუჩა 	3	15
ოქტომბის 	1	15
offroad 	1	15
სამგორის 	1	15
შემოქმედელის ქუჩა 	2	15
psp 	1	15
ქობულეთის 	1	15
წმინდა ნიკოლოზის 	2	15
ქართული 	1	15
სენაკის 	1	15
ხელოვნების ცენტრი 	2	15
ინაურის ქუჩა 	2	15
მოსკოვის 	1	15
ხეთაგუროვის ქუჩა 	2	15
ჟიული 	1	15
დენტი 	1	15
ჟიული შარტავას 	2	15
წმინდა გიორგის ქუჩა 	3	15
დოლიძის 	1	15
ოქტომბის ქუჩა 	2	15
methan 	1	15
ბელიაშვილის 	1	15
ოძელაშვილის 	1	15
ოძელაშვილის ქუჩა 	2	15
გოგოლის ქუჩა 	2	15
m 	1	14
კახიანის ქუჩა 	2	14
იოსელიანის ქუჩა 	2	14
რეგიონალური 	1	14
გიორგის სახელობის 	2	14
church 	1	14
methan cng 	2	14
gora 	1	14
ხალხთა მეგობრობის მოედანი 	3	14
ჩხეიძის 	1	14
კ. 	1	14
მარშალ 	1	14
სულხანიშვილის ქუჩა 	2	14
სამების ეკლესია 	2	14
nikea 	1	14
ტოლსტოის 	1	14
დემეტრე თავდადებულის 	2	14
st. 	1	14
viii შესახვევი 	2	14
sairme 	1	14
ლორთქიფანიძის iii შესახვევი 	3	14
სამრეცხაო 	1	14
საბჭოს 	1	14
მაცხოვრის 	1	14
მარშალ გელოვანის 	2	14
ტექნიკური 	1	14
ქუჩ 	1	14
ვახუშტი ბაგრატიონის 	2	14
დოლიძის ქუჩა 	2	14
ჟ. შარტავას ქუჩა 	3	14
სკოლის 	1	14
განყოფილება 	1	14
ზურაბ 	1	14
ფურცელაძის 	1	14
სულხანიშვილის 	1	14
პირველი 	1	14
ზ. 	1	14
ნიკოლოზის ეკლესია 	2	14
თაყაისვილის 	1	14
თაყაისვილის ქუჩა 	2	14
მეჩეთი 	1	14
სამშობიარო 	1	14
ჭყონდიდელის ქუჩა 	2	14
თამარაშვილის 	1	14
ლორთქიფანიძის iii 	2	14
ძმის 	1	14
გამზირზე 	1	14
მოსაშვილის 	1	14
მეგობრობის მოედანი 	2	14
ჟ. 	1	14
ჯანაშიას 	1	14
ჟ. შარტავას 	2	14
iv შეს. 	2	14
sairme gora 	2	14
ჩანჩიბაძის 	1	14
სამსახური 	1	14
ხინკლის 	1	13
სააგენტო 	1	13
ახალგაზრდობის ქუჩა 	2	13
კრწანისის 	1	13
rompetrol 	1	13
ქედის 	1	13
კოჯრის 	1	13
ვაჟა-ფშაველას 	1	13
სუვოროვის 	1	13
არქივი 	1	13
გაბაშვილის 	1	13
ფარნავაზის ქუჩა 	2	13
ცინცაძის ქუჩა 	2	13
შენობა 	1	13
