phrase	length	count
οδος 	1	102
νοσοκομείο 	1	101
λαυρίου 	1	101
χαριλάου 	1	101
παρασκευή 	1	101
shell 	1	101
ιπποκράτους 	1	100
θερμοπυλών 	1	100
δαβάκη 	1	99
ολύμπου 	1	99
ρεθύμνου 	1	98
δωδεκανήσου 	1	97
άγιος νικόλαος 	2	97
αγιος 	1	97
μπουμπουλίνας 	1	97
διονυσίου 	1	96
κορυτσάς 	1	96
γιαννιτσών 	1	96
μάρκου μπότσαρη 	2	96
αχιλλέως 	1	95
οδός θάσου 	2	95
περιμετρική οδός θάσου 	3	95
αρτέμιδος 	1	94
καρύστου 	1	93
σωτήρος 	1	93
άγιος γεώργιος 	2	93
κωστή παλαμά 	2	92
ηλίας 	1	92
πόντου 	1	92
βύρωνος 	1	91
τσαλδάρη 	1	91
επιδαύρου 	1	90
κοραή 	1	90
προφήτης 	1	90
μουδανιών 	1	90
τρίπολη 	1	89
σάμου 	1	89
restaurant 	1	89
παναγίας 	1	89
χίου 	1	89
αθηνάς 	1	88
καπετάν 	1	88
προφήτης ηλίας 	2	86
α 	1	86
αγίου αθανασίου 	2	85
ερμού 	1	85
καζαντζάκη 	1	85
αυτοκινητόδρομος αιγαίου 	2	85
πηγής 	1	84
κουντουριώτου 	1	84
ε 	1	84
eko 	1	84
αριδαίας 	1	84
δελφών 	1	84
α. 	1	84
συνδετήρια εθνική 	2	83
παναγία 	1	83
συνδετήρια εθνική οδός 	3	83
άξονας 	1	83
αχαρνών 	1	82
ιωάννης 	1	82
η 	1	82
νέων μουδανιών 	2	82
εθνάρχου 	1	82
εθνάρχου μακαρίου 	2	82
αγίας σοφίας 	2	81
αγίου κωνσταντίνου 	2	81
άγιοι 	1	81
αναπαύσεως 	1	81
parking 	1	81
τράπεζα πειραιώς 	2	81
ασίας 	1	81
σεφέρη 	1	81
αφροδίτης 	1	80
pizza 	1	80
γερμανού 	1	80
σουλίου 	1	79
γράμμου 	1	79
ανδρούτσου 	1	79
μητροπολίτου 	1	79
κώστα 	1	79
μικράς ασίας 	2	79
τμήμα 	1	79
μικράς 	1	79
διονύσου 	1	78
κοζάνης 	1	78
νικηταρά 	1	78
σαρανταπόρου 	1	78
σοφοκλέους 	1	78
κασσάνδρας 	1	78
αγία παρασκευή 	2	78
νίκου 	1	77
θησέως 	1	77
αγιου 	1	77
φιλελλήνων 	1	77
βυζαντίου 	1	77
λάμπρου 	1	77
αμφίπολης 	1	76
λαρίσης 	1	76
ναός αγίου 	2	76
παράπλευρη οδός 	2	76
παράπλευρη 	1	76
χαριλάου τρικούπη 	2	76
αρκαδίου 	1	76
σύρου 	1	75
θεμιστοκλέους 	1	75
νικηφόρου 	1	75
βόλου 	1	75
σέρρες 	1	74
σαλαμίνος 	1	74
ζωοδόχου πηγής 	2	74
ζωοδόχου 	1	74
λεωφόρου 	1	74
ξάνθης 	1	74
προμαχώνας 	1	74
ανθούσα 	1	73
λυκούργου 	1	73
απόλλωνος 	1	73
κοιμήσεως 	1	73
θεσσαλονίκη 	1	73
τατοΐου 	1	73
μπιζανίου 	1	72
δημήτριος 	1	72
σταυρού 	1	72
γρηγορίου ε 	2	72
χρήστου 	1	72
παναγούλη 	1	72
ράλλη 	1	71
δημ. 	1	71
παπαδιαμάντη 	1	71
γούναρη 	1	71
σχολή 	1	71
αναργύρων 	1	71
κύμης 	1	70
ι.ν. 	1	70
δημοσθένους 	1	70
της θεοτόκου 	2	70
βορείου 	1	70
κωνσταντίνου καραμανλή 	2	70
φιλικής 	1	70
κατσώνη 	1	69
ναυαρίνου 	1	69
ύδρας 	1	69
ελασσόνας 	1	69
καλπακίου 	1	69
μεσογείων 	1	69
νεοχωρίου 	1	69
μουδανίων 	1	69
ανθέων 	1	69
